0.05 0.97535184 0.0029275808
0.1 0.94667584 0.0027598901
0.15 0.92360433 0.0026254897
0.2 0.8985743 0.0024452866
0.25 0.8772136 0.0024220078
0.3 0.85229783 0.0023142393
0.35 0.83193849 0.0023812031
0.4 0.80381608 0.0023235343
0.45 0.77863264 0.0023971911
0.5 0.75629566 0.002535792
0.55 0.7344564 0.0025310391
0.6 0.70628148 0.002690312
0.65 0.68708438 0.0026630758
0.7 0.66301651 0.002925038
0.75 0.64604803 0.0029003937
0.8 0.62264466 0.0029678342
0.85 0.60373771 0.0032728112
0.9 0.58866683 0.0033572152
0.95 0.56756462 0.0034664539
1 0.55222611 0.0036159991
1.05 0.52742622 0.0037778215
1.1 0.50829332 0.0038315255
1.15 0.49199517 0.0038635226
1.2 0.46035768 0.0041071038
1.25 0.46013006 0.0041040574
1.3 0.44633984 0.0041675828
1.35 0.43284893 0.0042149563
1.4 0.40967734 0.0043994086
1.45 0.41087794 0.0042822431
1.5 0.39210522 0.0044845873

